pos_receipt_no,sold_at,item_description,units,item_price,store_name,store_city,payment_type,status
POS-0327,08-Mar-2026,Emina Bright Stuff Face Wash 100ml,3,27900,Paragon Beauty Store,Bandung,COD,completed
POS-0328,11-Jan-2026,Brigthning Serumm 30ml,1,89900,Paragon Beauty Store,Surabaya,E-Wallet,returned
POS-0329,13-Jan-2026, Wardah Colorfit Perfect Glow Cushion 13N ,1,109000,Paragon Beauty Store,Jakarta,Credit Card,cancelled
POS-0330,28-Aug-2026,Crystallure-Supreme-Revitalizing-Oil-Serum-20ml,2,219000,Paragon Beauty Store,Yogyakarta,E-Wallet,cancelled
POS-0331,21-Jun-2026,LABORE BIOMEPROTECT PHYSICAL SUNSCREEN SPF 50 30ML,3,129000,Paragon Beauty Store,Bandung,E-Wallet,returned
POS-0332,not-a-date, Emina Cheek Lit Cream Blush Peach ,3,46900,Paragon Beauty Store,Semarang,Credit Card,returned
POS-0333,10-Apr-2026,Emina Sun Battle SPF 50 PA++++ 30ml,2,49900,Paragon Beauty Store,Bandung,Transfer Bank,completed
POS-0334,27-Apr-2026,TAVI Urban Shield Sunscreen SPF 50 30ml,2,89900,Paragon Beauty Store,Jakarta,COD,completed
POS-0335,05-Feb-2026,EMINA BRIGHT STUFF FACE WASH 100ML,1,27900,Paragon Beauty Store,Semarang,COD,completed
POS-0336,03-Feb-2026,Kahf-Face-Wash-Oil-and-Comedo-Defense-100ml,2,42900,Paragon Beauty Store,Semarang,Transfer Bank,returned
POS-0337,19-Aug-2026,Emina Glossy Stain 01 Autumn Bell,1,52900,Paragon Beauty Store,Yogyakarta,Transfer Bank,completed
POS-0338,06-Apr-2026, Wonderly Body Mist Sweet Blossom 100ml ,2,45900,Paragon Beauty Store,Yogyakarta,Transfer Bank,completed
POS-0339,12-Jan-2026,Kahf-Triple-Protection-Sunscreen-Moisturizer-SPF-30,2,54900,Paragon Beauty Store,Surabaya,Transfer Bank,completed
POS-0340,18-Feb-2026,Wonderly Body Mist Sweet Blossom 100ml,1,45900,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0341,26-Mar-2026,Wardah-Colorfit-Perfect-Glow-Cushion-13N,1,109000,Paragon Beauty Store,Semarang,Transfer Bank,completed
POS-0342,05-Jan-2026,INSTAPERFECT SKINCOVER AIR CUSHION 02 BEIGE,3,149000,Paragon Beauty Store,Surabaya,Transfer Bank,completed
POS-0343,30-Jul-2026,Crystallure Supreme Revitalizing Oil Serum 20ml,3,219000,Paragon Beauty Store,Semarang,Transfer Bank,completed
POS-0344,05-Jan-2026,Make Over Powerstay Matte Powder Foundation N20,3,179000,Paragon Beauty Store,Surabaya,Transfer Bank,completed
POS-0345,09-Mar-2026,LABORE BARRIER REVIVE CREAM 30ML,2,119000,Paragon Beauty Store,Yogyakarta,E-Wallet,returned
POS-0346,28-Jan-2026,LABORE BiomeProtect Physical Sunscreen SPF 50 30ml,3,129000,Paragon Beauty Store,Yogyakarta,Credit Card,completed
POS-0347,11-Jun-2026,Make Over Powerstay Matte Powder Foundation N20,1,179000,Paragon Beauty Store,Jakarta,Credit Card,completed
POS-0348,29-May-2026,WARDAH UV SHIELD AQUA FRESH ESSENCE SPF 50 PA++++ 30ML,1,68900,Paragon Beauty Store,Bandung,Credit Card,cancelled
POS-0349,22-Aug-2026, Wonderly Body Mist Sweet Blossom 100ml ,2,45900,Paragon Beauty Store,Yogyakarta,E-Wallet,returned
POS-0350,09-May-2026,EMINA CHEEK LIT CREAM BLUSH PEACH,1,46900,Paragon Beauty Store,Yogyakarta,COD,completed
POS-0306,10-May-2026,Wardah Colorfit Velvet Matte Lip Mousse 03,1,62900,Paragon Beauty Store,Yogyakarta,Credit Card,cancelled
POS-0351,13-Mar-2026,Wardah Lightening Micellar Water 100ml,1,28900,Paragon Beauty Store,Medan,Credit Card,completed
POS-0352,14-Jan-2026,TAVI Urban Shield Sunscreen SPF 50 30ml,1,89900,Paragon Beauty Store,Semarang,COD,returned
POS-0353,24-Jun-2026,Instaperfect Skincover Air Cushion 02 Beige,1,149000,Paragon Beauty Store,Bandung,Transfer Bank,cancelled
POS-0354,23-Jan-2026,Wardah-Lightening-Micellar-Water-100ml,1,28900,Paragon Beauty Store,Medan,Credit Card,cancelled
POS-0355,05-Jul-2026,LABORE-Barrier-Revive-Cream-30ml,3,119000,Paragon Beauty Store,Semarang,Credit Card,completed
POS-0356,14-Jul-2026,Make Over Powerstay Matte Powder Foundation N20,1,169000,Paragon Beauty Store,Bandung,Transfer Bank,completed
POS-0357,29-Mar-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Semarang,E-Wallet,completed
POS-0358,29-Jan-2026,WARDAH UV SHIELD AQUA FRESH ESSENCE SPF 50 PA++++ 30ML,1,79900,Paragon Beauty Store,Surabaya,Transfer Bank,completed
POS-0359,22-Jul-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Medan,Transfer Bank,in_progress
POS-0360,24-Jul-2026,Wardah-UV-Shield-Aqua-Fresh-Essence-SPF-50-PA++++-30ml,3,79900,Paragon Beauty Store,Bandung,E-Wallet,completed
POS-0361,05-Aug-2026,Emina Cheek Lit Cream Blush Peach,1,46900,Paragon Beauty Store,Semarang,COD,cancelled
POS-0362,06-Jan-2026,Wardah-Aloe-Hydramild-Moisturizer-40ml,3,68900,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0363,02-Jan-2026,Wardah-Lightening-Micellar-Water-100ml,2,28900,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0364,17-Sep-2026,Wardah Aloe Hydramild Moisturizer 40ml,1,68900,Paragon Beauty Store,Semarang,Transfer Bank,returned
POS-0365,10-Jan-2026,Wardah Aloe Hydramild Moisturizer 40ml,3,68900,Paragon Beauty Store,Jakarta,Transfer Bank,completed
POS-0366,05-Feb-2026,Make Over Powerstay Weightless Liquid Foundation W22,1,179000,Paragon Beauty Store,Semarang,E-Wallet,returned
POS-0367,05-Aug-2026,Emina-Bright-Stuff-Face-Wash-100ml,3,27900,Paragon Beauty Store,Surabaya,E-Wallet,cancelled
POS-0368,07-May-2026, Wonderly Body Mist Sweet Blossom 100ml ,3,45900,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0369,31-Jan-2026,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION W22,1,179000,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0370,20-Apr-2026,WARDAH ALOE HYDRAMILD MOISTURIZER 40ML,1,68900,Paragon Beauty Store,Semarang,COD,cancelled
POS-0371,09-Aug-2026,KAHF FACE WASH OIL AND COMEDO DEFENSE 100ML,1,42900,Paragon Beauty Store,Bandung,COD,completed
POS-0372,25-Feb-2026,Wardah Lightening Micellar Water 100ml,2,28900,Paragon Beauty Store,Surabaya,COD,completed
POS-0373,08-Feb-2026, Instaperfect Skincover Air Cushion 02 Beige ,1,149000,Paragon Beauty Store,Yogyakarta,Credit Card,returned
POS-0374,06-Sep-2026,TAVI Urban Shield Sunscreen SPF 50 30ml,1,89900,Paragon Beauty Store,Yogyakarta,COD,completed
POS-0375,21-Aug-2026,Emina Sun Battle SPF 50 PA++++ 30ml,2,49900,Paragon Beauty Store,Bandung,COD,completed
POS-0376,01-Feb-2026,LABORE BiomeProtect Physical Sunscreen SPF 50 30ml,3,129000,Paragon Beauty Store,Medan,Credit Card,returned
POS-0377,11-Feb-2026,WARDAH ALOE HYDRAMILD MOISTURIZER 40ML,1,68900,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0378,21-Jan-2026,Emina Sun Battle SPF 50 PA++++ 30ml,3,49900,Paragon Beauty Store,Semarang,Transfer Bank,completed
POS-0379,03-Jun-2026,BIODEF BODY WASH FRESH CARE 450ML,1,35900,Paragon Beauty Store,Yogyakarta,,returned
POS-0380,17-Sep-2026,Make Over Powerstay Weightless Liquid Foundation W22,1,179000,Paragon Beauty Store,Bandung,Transfer Bank,completed
POS-0381,04-Jun-2026,Wonderly-Body-Mist-Sweet-Blossom-100ml,1,45900,Paragon Beauty Store,Semarang,Credit Card,returned
POS-0382,24-Feb-2026,Make Over Powerstay Matte Powder Foundation N20,1,169000,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0383,09-May-2026,BIODEF BODY WASH FRESH CARE 450ML,1,35900,Paragon Beauty Store,Jakarta,COD,completed
POS-0384,15-May-2026,TAVI-Urban-Shield-Sunscreen-SPF-50-30ml,1,89900,Paragon Beauty Store,Surabaya,COD,completed
POS-0385,09-Jul-2026,LABORE BARRIER REVIVE CREAM 30ML,3,-119000,Paragon Beauty Store,Semarang,COD,completed
POS-0386,08-May-2026,Wonderly Body Mist Sweet Blossom 100ml,1,45900,Paragon Beauty Store,Medan,COD,in_progress
POS-0387,01-Apr-2026,CRYSTALLURE SUPREME REVITALIZING OIL SERUM 20ML,1,219000,Paragon Beauty Store,,Transfer Bank,cancelled
POS-0388,25-Feb-2026,Wardah-Colorfit-Perfect-Glow-Cushion-13N,1,109000,Paragon Beauty Store,Yogyakarta,COD,cancelled
POS-0389,09-Apr-2026,Wonderly-Body-Mist-Sweet-Blossom-100ml,1,45900,Paragon Beauty Store,Yogyakarta,Credit Card,completed
POS-0390,15-Jan-2026, Wonderly Body Mist Sweet Blossom 100ml ,3,45900,Paragon Beauty Store,Jakarta,Transfer Bank,completed
POS-0391,10-Jun-2026,Emina Cheek Lit Cream Blush Peach,3,46900,Paragon Beauty Store,Yogyakarta,Credit Card,returned
POS-0392,01-Jan-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Semarang,E-Wallet,completed
POS-0393,03-Jun-2026,Biodef-Body-Wash-Fresh-Care-450ml,1,35900,Paragon Beauty Store,Semarang,COD,in_progress
POS-0394,14-Jul-2026,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION N20,1,169000,Paragon Beauty Store,Medan,E-Wallet,completed
POS-0395,09-Aug-2026,Emina Sun Battle SPF 50 PA++++ 30ml,1,49900,Paragon Beauty Store,Semarang,Transfer Bank,cancelled
POS-0351,13-Mar-2026,Wardah Lightening Micellar Water 100ml,1,28900,Paragon Beauty Store,Medan,Credit Card,completed
POS-0352,14-Jan-2026,TAVI Urban Shield Sunscreen SPF 50 30ml,1,89900,Paragon Beauty Store,Semarang,COD,returned
POS-0353,24-Jun-2026,Instaperfect Skincover Air Cushion 02 Beige,1,149000,Paragon Beauty Store,Bandung,Transfer Bank,cancelled
POS-0354,23-Jan-2026,Wardah-Lightening-Micellar-Water-100ml,1,28900,Paragon Beauty Store,Medan,Credit Card,cancelled
POS-0355,05-Jul-2026,LABORE-Barrier-Revive-Cream-30ml,3,119000,Paragon Beauty Store,Semarang,Credit Card,completed
POS-0356,14-Jul-2026,Make Over Powerstay Matte Powder Foundation N20,1,169000,Paragon Beauty Store,Bandung,Transfer Bank,completed
POS-0357,29-Mar-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Semarang,E-Wallet,completed
POS-0358,29-Jan-2026,WARDAH UV SHIELD AQUA FRESH ESSENCE SPF 50 PA++++ 30ML,1,79900,Paragon Beauty Store,Surabaya,Transfer Bank,completed
POS-0359,22-Jul-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Medan,Transfer Bank,in_progress
POS-0360,24-Jul-2026,Wardah-UV-Shield-Aqua-Fresh-Essence-SPF-50-PA++++-30ml,3,79900,Paragon Beauty Store,Bandung,E-Wallet,completed
POS-0361,05-Aug-2026,Emina Cheek Lit Cream Blush Peach,1,46900,Paragon Beauty Store,Semarang,COD,cancelled
POS-0362,06-Jan-2026,Wardah-Aloe-Hydramild-Moisturizer-40ml,3,68900,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0363,02-Jan-2026,Wardah-Lightening-Micellar-Water-100ml,2,28900,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0364,17-Sep-2026,Wardah Aloe Hydramild Moisturizer 40ml,1,68900,Paragon Beauty Store,Semarang,Transfer Bank,returned
POS-0365,10-Jan-2026,Wardah Aloe Hydramild Moisturizer 40ml,3,68900,Paragon Beauty Store,Jakarta,Transfer Bank,completed
POS-0366,05-Feb-2026,Make Over Powerstay Weightless Liquid Foundation W22,1,179000,Paragon Beauty Store,Semarang,E-Wallet,returned
POS-0367,05-Aug-2026,Emina-Bright-Stuff-Face-Wash-100ml,3,27900,Paragon Beauty Store,Surabaya,E-Wallet,cancelled
POS-0368,07-May-2026, Wonderly Body Mist Sweet Blossom 100ml ,3,45900,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0369,31-Jan-2026,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION W22,1,179000,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0370,20-Apr-2026,WARDAH ALOE HYDRAMILD MOISTURIZER 40ML,1,68900,Paragon Beauty Store,Semarang,COD,cancelled
POS-0371,09-Aug-2026,KAHF FACE WASH OIL AND COMEDO DEFENSE 100ML,1,42900,Paragon Beauty Store,Bandung,COD,completed
POS-0372,25-Feb-2026,Wardah Lightening Micellar Water 100ml,2,28900,Paragon Beauty Store,Surabaya,COD,completed
POS-0373,08-Feb-2026, Instaperfect Skincover Air Cushion 02 Beige ,1,149000,Paragon Beauty Store,Yogyakarta,Credit Card,returned
POS-0374,06-Sep-2026,TAVI Urban Shield Sunscreen SPF 50 30ml,1,89900,Paragon Beauty Store,Yogyakarta,COD,completed
POS-0375,21-Aug-2026,Emina Sun Battle SPF 50 PA++++ 30ml,2,49900,Paragon Beauty Store,Bandung,COD,completed
POS-0376,01-Feb-2026,LABORE BiomeProtect Physical Sunscreen SPF 50 30ml,3,129000,Paragon Beauty Store,Medan,Credit Card,returned
POS-0377,11-Feb-2026,WARDAH ALOE HYDRAMILD MOISTURIZER 40ML,1,68900,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0378,21-Jan-2026,Emina Sun Battle SPF 50 PA++++ 30ml,3,49900,Paragon Beauty Store,Semarang,Transfer Bank,completed
POS-0379,03-Jun-2026,BIODEF BODY WASH FRESH CARE 450ML,1,35900,Paragon Beauty Store,Yogyakarta,,returned
POS-0380,17-Sep-2026,Make Over Powerstay Weightless Liquid Foundation W22,1,179000,Paragon Beauty Store,Bandung,Transfer Bank,completed
POS-0381,04-Jun-2026,Wonderly-Body-Mist-Sweet-Blossom-100ml,1,45900,Paragon Beauty Store,Semarang,Credit Card,returned
POS-0382,24-Feb-2026,Make Over Powerstay Matte Powder Foundation N20,1,169000,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0383,09-May-2026,BIODEF BODY WASH FRESH CARE 450ML,1,35900,Paragon Beauty Store,Jakarta,COD,completed
POS-0384,15-May-2026,TAVI-Urban-Shield-Sunscreen-SPF-50-30ml,1,89900,Paragon Beauty Store,Surabaya,COD,completed
POS-0385,09-Jul-2026,LABORE BARRIER REVIVE CREAM 30ML,3,-119000,Paragon Beauty Store,Semarang,COD,completed
POS-0386,08-May-2026,Wonderly Body Mist Sweet Blossom 100ml,1,45900,Paragon Beauty Store,Medan,COD,in_progress
POS-0387,01-Apr-2026,CRYSTALLURE SUPREME REVITALIZING OIL SERUM 20ML,1,219000,Paragon Beauty Store,,Transfer Bank,cancelled
POS-0388,25-Feb-2026,Wardah-Colorfit-Perfect-Glow-Cushion-13N,1,109000,Paragon Beauty Store,Yogyakarta,COD,cancelled
POS-0389,09-Apr-2026,Wonderly-Body-Mist-Sweet-Blossom-100ml,1,45900,Paragon Beauty Store,Yogyakarta,Credit Card,completed
POS-0390,15-Jan-2026, Wonderly Body Mist Sweet Blossom 100ml ,3,45900,Paragon Beauty Store,Jakarta,Transfer Bank,completed
POS-0391,10-Jun-2026,Emina Cheek Lit Cream Blush Peach,3,46900,Paragon Beauty Store,Yogyakarta,Credit Card,returned
POS-0392,01-Jan-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Semarang,E-Wallet,completed
POS-0393,03-Jun-2026,Biodef-Body-Wash-Fresh-Care-450ml,1,35900,Paragon Beauty Store,Semarang,COD,in_progress
POS-0394,14-Jul-2026,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION N20,1,169000,Paragon Beauty Store,Medan,E-Wallet,completed
POS-0395,09-Aug-2026,Emina Sun Battle SPF 50 PA++++ 30ml,1,49900,Paragon Beauty Store,Semarang,Transfer Bank,cancelled
POS-0351,13-Mar-2026,Wardah Lightening Micellar Water 100ml,1,28900,Paragon Beauty Store,Medan,Credit Card,completed
POS-0352,14-Jan-2026,TAVI Urban Shield Sunscreen SPF 50 30ml,1,89900,Paragon Beauty Store,Semarang,COD,returned
POS-0353,24-Jun-2026,Instaperfect Skincover Air Cushion 02 Beige,1,149000,Paragon Beauty Store,Bandung,Transfer Bank,cancelled
POS-0354,23-Jan-2026,Wardah-Lightening-Micellar-Water-100ml,1,28900,Paragon Beauty Store,Medan,Credit Card,cancelled
POS-0355,05-Jul-2026,LABORE-Barrier-Revive-Cream-30ml,3,119000,Paragon Beauty Store,Semarang,Credit Card,completed
POS-0356,14-Jul-2026,Make Over Powerstay Matte Powder Foundation N20,1,169000,Paragon Beauty Store,Bandung,Transfer Bank,completed
POS-0357,29-Mar-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Semarang,E-Wallet,completed
POS-0358,29-Jan-2026,WARDAH UV SHIELD AQUA FRESH ESSENCE SPF 50 PA++++ 30ML,1,79900,Paragon Beauty Store,Surabaya,Transfer Bank,completed
POS-0359,22-Jul-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Medan,Transfer Bank,in_progress
POS-0360,24-Jul-2026,Wardah-UV-Shield-Aqua-Fresh-Essence-SPF-50-PA++++-30ml,3,79900,Paragon Beauty Store,Bandung,E-Wallet,completed
POS-0361,05-Aug-2026,Emina Cheek Lit Cream Blush Peach,1,46900,Paragon Beauty Store,Semarang,COD,cancelled
POS-0362,06-Jan-2026,Wardah-Aloe-Hydramild-Moisturizer-40ml,3,68900,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0363,02-Jan-2026,Wardah-Lightening-Micellar-Water-100ml,2,28900,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0364,17-Sep-2026,Wardah Aloe Hydramild Moisturizer 40ml,1,68900,Paragon Beauty Store,Semarang,Transfer Bank,returned
POS-0365,10-Jan-2026,Wardah Aloe Hydramild Moisturizer 40ml,3,68900,Paragon Beauty Store,Jakarta,Transfer Bank,completed
POS-0366,05-Feb-2026,Make Over Powerstay Weightless Liquid Foundation W22,1,179000,Paragon Beauty Store,Semarang,E-Wallet,returned
POS-0367,05-Aug-2026,Emina-Bright-Stuff-Face-Wash-100ml,3,27900,Paragon Beauty Store,Surabaya,E-Wallet,cancelled
POS-0368,07-May-2026, Wonderly Body Mist Sweet Blossom 100ml ,3,45900,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0369,31-Jan-2026,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION W22,1,179000,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0370,20-Apr-2026,WARDAH ALOE HYDRAMILD MOISTURIZER 40ML,1,68900,Paragon Beauty Store,Semarang,COD,cancelled
POS-0371,09-Aug-2026,KAHF FACE WASH OIL AND COMEDO DEFENSE 100ML,1,42900,Paragon Beauty Store,Bandung,COD,completed
POS-0372,25-Feb-2026,Wardah Lightening Micellar Water 100ml,2,28900,Paragon Beauty Store,Surabaya,COD,completed
POS-0373,08-Feb-2026, Instaperfect Skincover Air Cushion 02 Beige ,1,149000,Paragon Beauty Store,Yogyakarta,Credit Card,returned
POS-0374,06-Sep-2026,TAVI Urban Shield Sunscreen SPF 50 30ml,1,89900,Paragon Beauty Store,Yogyakarta,COD,completed
POS-0375,21-Aug-2026,Emina Sun Battle SPF 50 PA++++ 30ml,2,49900,Paragon Beauty Store,Bandung,COD,completed
POS-0376,01-Feb-2026,LABORE BiomeProtect Physical Sunscreen SPF 50 30ml,3,129000,Paragon Beauty Store,Medan,Credit Card,returned
POS-0377,11-Feb-2026,WARDAH ALOE HYDRAMILD MOISTURIZER 40ML,1,68900,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0378,21-Jan-2026,Emina Sun Battle SPF 50 PA++++ 30ml,3,49900,Paragon Beauty Store,Semarang,Transfer Bank,completed
POS-0379,03-Jun-2026,BIODEF BODY WASH FRESH CARE 450ML,1,35900,Paragon Beauty Store,Yogyakarta,,returned
POS-0380,17-Sep-2026,Make Over Powerstay Weightless Liquid Foundation W22,1,179000,Paragon Beauty Store,Bandung,Transfer Bank,completed
POS-0381,04-Jun-2026,Wonderly-Body-Mist-Sweet-Blossom-100ml,1,45900,Paragon Beauty Store,Semarang,Credit Card,returned
POS-0382,24-Feb-2026,Make Over Powerstay Matte Powder Foundation N20,1,169000,Paragon Beauty Store,Medan,Transfer Bank,completed
POS-0383,09-May-2026,BIODEF BODY WASH FRESH CARE 450ML,1,35900,Paragon Beauty Store,Jakarta,COD,completed
POS-0384,15-May-2026,TAVI-Urban-Shield-Sunscreen-SPF-50-30ml,1,89900,Paragon Beauty Store,Surabaya,COD,completed
POS-0385,09-Jul-2026,LABORE BARRIER REVIVE CREAM 30ML,3,-119000,Paragon Beauty Store,Semarang,COD,completed
POS-0386,08-May-2026,Wonderly Body Mist Sweet Blossom 100ml,1,45900,Paragon Beauty Store,Medan,COD,in_progress
POS-0387,01-Apr-2026,CRYSTALLURE SUPREME REVITALIZING OIL SERUM 20ML,1,219000,Paragon Beauty Store,,Transfer Bank,cancelled
POS-0388,25-Feb-2026,Wardah-Colorfit-Perfect-Glow-Cushion-13N,1,109000,Paragon Beauty Store,Yogyakarta,COD,cancelled
POS-0389,09-Apr-2026,Wonderly-Body-Mist-Sweet-Blossom-100ml,1,45900,Paragon Beauty Store,Yogyakarta,Credit Card,completed
POS-0390,15-Jan-2026, Wonderly Body Mist Sweet Blossom 100ml ,3,45900,Paragon Beauty Store,Jakarta,Transfer Bank,completed
POS-0391,10-Jun-2026,Emina Cheek Lit Cream Blush Peach,3,46900,Paragon Beauty Store,Yogyakarta,Credit Card,returned
POS-0392,01-Jan-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Semarang,E-Wallet,completed
POS-0393,03-Jun-2026,Biodef-Body-Wash-Fresh-Care-450ml,1,35900,Paragon Beauty Store,Semarang,COD,in_progress
POS-0394,14-Jul-2026,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION N20,1,169000,Paragon Beauty Store,Medan,E-Wallet,completed
POS-0395,09-Aug-2026,Emina Sun Battle SPF 50 PA++++ 30ml,1,49900,Paragon Beauty Store,Semarang,Transfer Bank,cancelled
POS-0351,13-Mar-2026,Wardah Lightening Micellar Water 100ml,1,28900,Paragon Beauty Store,Medan,Credit Card,completed
POS-0352,14-Jan-2026,TAVI Urban Shield Sunscreen SPF 50 30ml,1,89900,Paragon Beauty Store,Semarang,COD,returned
POS-0353,24-Jun-2026,Instaperfect Skincover Air Cushion 02 Beige,1,149000,Paragon Beauty Store,Bandung,Transfer Bank,cancelled
POS-0354,23-Jan-2026,Wardah-Lightening-Micellar-Water-100ml,1,28900,Paragon Beauty Store,Medan,Credit Card,cancelled
POS-0355,05-Jul-2026,LABORE-Barrier-Revive-Cream-30ml,3,119000,Paragon Beauty Store,Semarang,Credit Card,completed
POS-0356,14-Jul-2026,Make Over Powerstay Matte Powder Foundation N20,1,169000,Paragon Beauty Store,Bandung,Transfer Bank,completed
POS-0357,29-Mar-2026,LABORE-BiomeProtect-Physical-Sunscreen-SPF-50-30ml,1,129000,Paragon Beauty Store,Semarang,E-Wallet,completed
